index,origin
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.3010299956639812
12,0.3010299956639812
13,0.3010299956639812
14,0.3010299956639812
15,0.47712125471966244
16,0.47712125471966244
17,0.47712125471966244
18,0.6020599913279624
19,0.6020599913279624
20,0.6989700043360189
21,0.6989700043360189
22,0.6989700043360189
23,0.6989700043360189
24,0.7781512503836436
25,0.7781512503836436
26,0.7781512503836436
27,0.7781512503836436
28,0.8450980400142568
29,0.8450980400142568
30,0.8450980400142568
31,0.8450980400142568
32,0.9030899869919435
33,0.9030899869919435
34,1.0
35,1.0413926851582251
36,1.0413926851582251
37,1.0791812460476249
38,1.0791812460476249
39,1.0791812460476249
40,1.146128035678238
41,1.1760912590556813
42,1.2304489213782739
43,1.255272505103306
44,1.2787536009528289
45,1.3010299956639813
46,1.3222192947339193
47,1.3617278360175928
48,1.3979400086720377
49,1.3979400086720377
50,1.414973347970818
51,1.4471580313422192
52,1.4913616938342726
53,1.4913616938342726
54,1.5563025007672873
55,1.5563025007672873
56,1.5797835966168101
57,1.591064607026499
58,1.7323937598229686
59,1.7781512503836436
60,1.8195439355418688
61,1.8260748027008264
62,1.8388490907372552
63,1.845098040014257
64,1.8573324964312685
65,1.9444826721501687
66,1.9777236052888478
67,2.037426497940624
68,2.0492180226701815
69,2.1335389083702174
70,2.167317334748176
71,2.247973266361807
72,2.2576785748691846
73,2.2624510897304293
74,2.2810333672477277
75,2.359835482339888
76,2.4265112613645754
77,2.4409090820652177
78,2.45484486000851
79,2.4927603890268375
80,2.603144372620182
81,2.678518379040114
82,2.709269960975831
83,2.72916478969277
84,2.7403626894942437
85,3.052693941924968
86,3.0827853703164503
87,3.123851640967086
88,3.13481437032046
89,3.1806992012960347
90,3.194514341882467
91,3.255272505103306
92,3.2593549273080344
93,3.291368850451583
94,3.3727279408855955
95,3.6514718521990424
96,3.82013575187043
97,3.82936810798882
98,3.9287542021766533
99,3.9742352774430265
100,4.032175376961363
101,4.047352760753935
102,4.06918692515191
103,4.101609617233112
104,4.1656893760176175
105,4.194680812649945
106,4.406420945974621
107,4.5644648458139105
108,4.60147329767001
109,4.851991747962157
110,4.931030485564893
111,5.104917095747697
112,5.181486290942387
